Time,Ox Man Raw,Ox Man (psi),Fuel Man Raw,Fuel Man (psi),CC Raw,CC (psi),Ox Tank Raw,Ox Tank (psi),Press Tank Raw,Press Tank (psi),Thrust Raw,Thrust (lbf),dP Fuel,dP Ox
1626866,0.972507,-1.79622771,1.003543,2.021221,0.983826,0.74364998,1.014252,3.06706228,1.005347,8.767162,0.244104,22.121695,1.27757102,-2.53987769
1626910,0.971728,-1.98511184,1.004645,2.292125,0.987515,1.64830345,1.014426,3.11097814,1.004629,7.859449,0.234351,21.153454,0.64382155,-3.63341529
1626922,0.977078,-0.68789734,1.003427,1.992705,0.982904,0.51754792,1.01452,3.1347028,1.004596,7.81696,0.229602,20.682057,1.47515708,-1.20544526
1626957,0.97662,-0.7989486,1.00452,2.261357,0.985611,1.18138553,1.014157,3.04308523,1.004065,7.144866,0.229895,20.711141,1.07997147,-1.98033413
1627004,0.972729,-1.74239937,1.004114,2.161551,0.984051,0.79882673,1.014935,3.23944465,1.004632,7.863312,0.232263,20.946233,1.36272427,-2.5412261
1627049,0.975091,-1.16968523,1.003421,1.991204,0.986066,1.29296518,1.014892,3.22859188,1.002701,5.41828,0.232385,20.958351,0.69823882,-2.46265041
1627084,0.975983,-0.95340199,1.003842,2.094763,0.984128,0.81770944,1.016605,3.66093595,1.005511,8.975743,0.231689,20.889278,1.27705356,-1.77111143
1627142,0.974921,-1.21090513,1.003171,1.929669,0.982947,0.52809281,1.01427,3.0716053,1.002743,5.472356,0.230579,20.779002,1.40157619,-1.73899794
1627176,0.978995,-0.22308235,1.002206,1.692534,0.986337,1.35942251,1.012018,2.50322302,1.00708,10.961124,0.229529,20.674786,0.33311149,-1.58250486
1627187,0.977728,-0.53029184,1.004193,2.181062,0.984494,0.90746362,1.016965,3.75179635,1.007828,11.907464,0.231311,20.851711,1.27359838,-1.43775546
1627223,0.975873,-0.98007369,1.002878,1.857628,0.984152,0.82359496,1.014426,3.11097814,1.005466,8.917804,0.234351,21.153454,1.03403304,-1.80366865
1627256,0.972757,-1.73561021,1.003958,2.123279,0.983765,0.72869095,1.014413,3.10769707,1.003433,6.345306,0.232239,20.943809,1.39458805,-2.46430116
1627279,0.976123,-0.91945619,1.002798,1.838117,0.983316,0.61858268,1.015314,3.33510046,1.005905,9.47402,0.234375,21.155877,1.21953432,-1.53803887
1627327,0.971316,-2.08500948,1.00423,2.190067,0.985913,1.25544499,1.014401,3.10466839,1.004651,7.886487,0.234375,21.155877,0.93462201,-3.34045447
1627352,0.973486,-1.55884958,1.004996,2.378424,0.984375,0.87828125,1.014773,3.19855747,1.005484,8.94098,0.235815,21.298872,1.50014275,-2.43713083
1627379,0.975812,-0.99486436,1.004303,2.208077,0.983075,0.55948225,1.014484,3.12561676,1.005032,8.369313,0.234387,21.157089,1.64859475,-1.55434661
1627414,0.976623,-0.79822119,1.005044,2.390431,0.983853,0.75027119,1.016833,3.71848087,1.003473,6.39552,0.237415,21.45762,1.64015981,-1.54849238
1627446,0.971725,-1.98583925,1.002789,1.835865,0.985663,1.19413749,1.014441,3.11476399,1.005817,9.362004,0.239258,21.640604,0.64172751,-3.17997674
1627470,0.972253,-1.85781509,1.003741,2.069999,0.983487,0.66051701,1.013714,2.93127646,1.00585,9.404493,0.242444,21.956888,1.40948199,-2.5183321
1627517,0.974121,-1.40488113,1.003418,1.990453,0.983887,0.75860901,1.014404,3.10542556,1.005859,9.416081,0.239258,21.640604,1.23184399,-2.16349014
1627542,0.977688,-0.53999064,1.002887,1.859879,0.984277,0.85424871,1.014011,3.00623629,1.005194,8.574032,0.239185,21.633333,1.00563029,-1.39423935
1627570,0.974448,-1.32559344,1.004471,2.249351,0.984885,1.00334855,1.014456,3.11854984,1.005691,9.203637,0.239258,21.640604,1.24600245,-2.32894199
1627599,0.976544,-0.81737632,1.004782,2.325894,0.984231,0.84296813,1.014084,3.02466076,1.003845,6.866758,0.239258,21.640604,1.48292587,-1.66034445
1627646,0.978384,-0.37123152,1.002197,1.690282,0.985107,1.05778961,1.014404,3.10542556,1.00708,10.961124,0.239258,21.640604,0.63249239,-1.42902113
1627659,0.977191,-0.66049823,1.00469,2.303381,0.983917,0.76596591,1.016861,3.72554779,1.004968,8.288199,0.239319,21.646663,1.53741509,-1.42646414
1627694,0.979568,-0.08414704,1.004004,2.134535,0.985699,1.20296577,1.015698,3.43201822,1.004694,7.940564,0.244128,22.124119,0.93156923,-1.28711281
1627719,0.976214,-0.89739142,1.002673,1.807349,0.982571,0.43588633,1.013721,2.93304319,1.004639,7.871037,0.242822,21.994454,1.37146267,-1.33327775
1627757,0.977447,-0.59842591,1.004434,2.240345,0.982886,0.51313378,1.016641,3.67002199,1.003454,6.372344,0.24375,22.086552,1.72721122,-1.11155969
1627790,0.974115,-1.40633595,1.005243,2.439209,0.982974,0.53471402,1.015927,3.48981553,1.004346,7.500226,0.23927,21.641816,1.90449498,-1.94104997
1627822,0.97568,-1.0268704,1.004175,2.176559,0.98464,0.9432672,1.014343,3.09002977,1.004642,7.874899,0.241565,21.869637,1.2332918,-1.9701376
1627846,0.972577,-1.77925481,1.003195,1.935672,0.985562,1.16936926,1.013461,2.86742179,1.006192,9.837105,0.23927,21.641816,0.76630274,-2.94862407
1627881,0.977649,-0.54944697,1.003851,2.097014,0.983472,0.65683856,1.013327,2.83360153,1.004214,7.334134,0.240967,21.810258,1.44017544,-1.20628553
1627905,0.973999,-1.43446247,1.005759,2.566031,0.983197,0.58940031,1.014892,3.22859188,1.003451,6.368482,0.240784,21.792081,1.97663069,-2.02386278
1627940,0.975479,-1.07560687,1.003866,2.100766,0.983893,0.76008039,1.014294,3.07766266,1.005572,9.052995,0.243555,22.067163,1.34068561,-1.83568726
1627984,0.974121,-1.40488113,1.006436,2.732626,0.982666,0.45918318,1.016711,3.68768929,1.005859,9.416081,0.244141,22.125331,2.27344282,-1.86406431
1628009,0.973007,-1.67499271,1.005005,2.380675,0.983029,0.54820167,1.016348,3.59607172,1.003451,6.368482,0.244092,22.120483,1.83247333,-2.22319438
1628045,0.974075,-1.41603475,1.003006,1.889146,0.98352,0.6686096,1.015219,3.31112341,1.003033,5.839304,0.239258,21.640604,1.2205364,-2.08464435
1628070,0.97771,-0.5346563,1.003735,2.068498,0.984534,0.91727282,1.015594,3.40576966,1.004953,8.268886,0.244055,22.116848,1.15122518,-1.45192912
1628106,0.974576,-1.29455728,1.004779,2.325144,0.982678,0.46212594,1.015167,3.29799913,1.004196,7.310958,0.239246,21.639392,1.86301806,-1.75668322
1628139,0.972024,-1.91334072,1.004358,2.221585,0.985763,1.21866049,1.013714,2.93127646,1.004428,7.604517,0.239319,21.646663,1.00292451,-3.13200121
1628162,0.973431,-1.57218543,1.00365,2.047486,0.984378,0.87901694,1.014126,3.03526114,1.004388,7.554303,0.240222,21.736338,1.16846906,-2.45120237
